instruction,input,output,category
Apa makna dan peran Istana Kerajaan Oslo dalam kehidupan masyarakat Indonesia?,,"Istana Kerajaan Oslo () adalah sebuah istana yang terletak di Oslo, Norwegia. Istana ini dibangun pada paruh pertama abad ke-19 sebagai kediaman Norwegia Raja Karl III John kelahiran Norwegia, yang memerintah sebagai raja Norwegia dan Swedia. Istana ini adalah kediaman resmi raja Norwegia saat ini sementara Putra Mahkota tinggal di Skaugum di Asker di sebelah barat Oslo.",Sejarah_Nusantara
Ceritakan secara singkat tentang Heinrich von Angeli dan signifikansinya bagi masyarakat setempat.,,"Kehidupan Angeli lahir pada 1840 di Ödenburg, yang saat itu menjadi bagian dari kekaisaran Austria, sekarang dikenal sebagai Sopron di Hungaria. Ia bekejra di Akademi Seni Rupa Murni Wina, Kunstakademie Düsseldorf, dan di Munich, sebelum pindah ke Wina pada 1862. Dari 1870, ia berkunjung ke Berlin, London, dan Wina, membuat potret-potret.",Sejarah_Nusantara
Bagaimana Edward Leung mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Edward Leung Tin-kei (; ) adalah seorang politikus dan aktivis Hong Kong. Ia adalah mantan jurubicara Hong Kong Indigenous, sebuah kelompok lokalis. Ia mengadvokasikan kemerdekaan Hong Kong, dan mencetuskan slogan ""Bebaskan Hong Kong, revolusi zaman kita"" pada pemilu 2016, yang kemudian banyak dipakai dalam unjuk rasa Hong Kong 2019–20.",Sejarah_Nusantara
Bagaimana Camille Rewinds mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Alur cerita Dalam perjalanannya ke pesta, Camille berkonsultasi dengan pembuat jam yang aneh karena dia harus memperbaiki jam tangannya. Jam tangan itu memiliki nilai sentimental untuknya karena dia mendapatkannya sebagai hadiah untuk ulang tahunnya yang ke-16. Keesokan paginya Camille menyadari bahwa ini adalah tahun 1985 dan dia kembali menjadi remaja.",Budaya_Tradisi
Apa makna dan peran Taking Woodstock dalam kehidupan masyarakat Indonesia?,,"Taking Woodstock adalah sebuah film komedi-drama Amerika Serikat tahun 2009 tentang Woodstock Festival tahun 1969, garapan Ang Lee. Skenarionya yang dibuat oleh James Schamus berdasarkan pada memoir Taking Woodstock: A True Story of a Riot, a Concert, and a Life karya Elliot Tiber dan Tom Monte.",Budaya_Tradisi
Jelaskan apa itu The Seattle Times dalam konteks budaya dan tradisi Indonesia.,,"Harian ini adalah salah satu dari sejumlah kecil harian di kota besar Amerika Serikat yang masih dikelola secara independen dan dimiliki oleh pengusaha lokal. The Seattle Times hingga kini masih dimiliki keluarga Blethen. Selain memiliki dan mengelola The Seattle Times, The Seattle Times Company juga memiliki 3 surat kabar lain di Washington, dan penerbit bernama Blethen Maine Newspapers yang menerbitkan 5 surat kabar di Maine. Hingga kini, The Seattle Times telah memenangi Penghargaan Pulitzer sebanyak 7 kali.",Sejarah_Nusantara
"Bagaimana Marunda, Cilincing, Jakarta Utara mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?",,Sejarah Marunda pernah menjadi pos terdepan dari Tentara Kesultanan Mataram dalam upayanya untuk menyerbu Batavia yang diduduki oleh Vereenigde Oostindische Compagnie (VOC). Hal tersebut karena Sultan Agung dari Mataram tidak suka dengan keberadaan Batavia sebagai pusat kekuasaan VOC yang memonopoli perdagangan. Penyerbuan Tentara Mataram ke Batavia terjadi pada tahun 1628–1629. Marunda dipilih karena letaknya yang strategis sebagai pos pertahanan terdepan dari Tentara Kesultanan Mataram.,Sejarah_Nusantara
Jelaskan apa itu Gereja Ortodoks Yunani dalam konteks budaya dan tradisi Indonesia.,,"Gereja Ortodoks Yunani (bahasa Yunani: Ἑλληνορθόδοξη Ἑκκλησία, Ellinorthódoxi Ekklisía, ) adalah suatu istilah yang merujuk pada badan atau himpunan beberapa Gereja yang mana persekutuan lebih besarnya adalah Kekristenan Ortodoks Timur, dengan liturgi yang biasanya menggunakan bahasa Yunani Koine (bahasa asli Perjanjian Baru) serta sejarahnya, tradisinya, dan teologinya berakar dari Bapa Gereja awal dan budaya Kekaisaran Bizantium. Kristen Ortodoks Yunani umumnya juga sangat menekankan dan menjunjung tinggi tradisi asketisisme dan monastisisme Kristen, yang berasal dari Gereja perdana di Timur Jauh dan di Anatolia Bizantium. Saat ini, pusat monastisisme Kristen Ortodoks paling berpengaruh adalah Biara Santa Katarina di Jazirah Sinai (Mesir) dan Gunung Athos di Makedonia Yunani (Yunani Utara).",Budaya_Tradisi
Jelaskan apa itu Sultanah dalam konteks budaya dan tradisi Indonesia.,,"Asia Tenggara Pada Kesultanan Samudera Pasai, (sekarang bagian dari Indonesia), Sultanah Seri Ratu Nihrasyiah Rawangsa Khadiyu (memerintah 1406-1427) menjadi satu-satunya wanita yang naik tahta. Di Aceh Darussalam (sekarang bagian dari Indonesia dan Malaysia), terdapat empat orang sultanah yang memerintah: Sultanah Seri Ratu Ta'jul Alam Syafiatuddin Syah of Aceh (1641-1675) - putri Sultan Iskandar Muda yang Agung, dan istri dari Sultan Iskandar Tsani. Dia menguasai enam bahasa, yakni bahasa Aceh, bahasa Melayu, bahasa Arab, bahasa Persia, bahasa Spanyol, dan bahasa Belanda. Sultanah Seri Ratu Nurul Alam Naqiatuddin Syah (1675-1678). Sultanah Seri Ratu Zaqiatuddin Inayat Syah (1678-1688). Sultanah Seri Ratu Kamalat Syah (1688-1699). Digantikan oleh suaminya atas fatwa dari Mufti Makkah.",Sejarah_Nusantara
Apa yang dimaksud dengan Uis Gara dan bagaimana keberadaannya dalam budaya Indonesia?,,"Fungsi dan kegunaan Pada awalnya kegunaan uis gara, yaitu dibuat untuk dipakai sehari-hari oleh kalangan perempuan Karo. Namun saat ini uis gara hanya digunakan di setiap upacara adat dan budaya Karo. Baik yang dilaksanakan di daerah Karo sendiri, maupun di luar daerah Karo, selebihnya kerap juga ditemukan dalam bentuk sovenir berupa tas, dasi, gorden, ikat pinggang, sarung bantal, dan lain sebagainya.",Budaya_Tradisi
Deskripsikan Kraton Zimbabwe sebagai bagian dari kekayaan budaya Nusantara.,,"Kraton Zimbabwe adalah kraton hasil pecahan Kenorland yang terbentuk sekitar 2 miliar tahun yang lalu pada awal era Paleoproterozoikum. Sekitar 2 miliar tahun yang lalu dia menjadi bagian dari Atlantika yang menjadi awal sejarah pembentukannya (bersama dengan Kraton Kongo, Tanzania, dan Afrika Barat). Ia bersama dengan Kraton kraton lainnya menjadi salah satu kraton tertua di dunia setelah Kraton Yilgarn, Kaapvaal dan Pilbara.",Sejarah_Nusantara
Jelaskan apa itu Fuad Hassan (politikus) dalam konteks budaya dan tradisi Indonesia.,,"Setelah menamatkan kuliahnya pada 1958, dia melanjutkan untuk belajar filsafat di Universitas Toronto, Kanada, 1962. Gelar doktor lantas didapatkannya dari UI sebelum menjadi Guru Besar Fakultas Psikologi UI. Fuad sempat menjadi Asisten pada Balai Psikoteknik Departemen P & K, Asisten Jurusan Psikologi Fakultas Kedokteran UI, serta menjadi Tenaga Ahli diperbantukan pada Koti G-5 dan Anggota Tim Ahli bidang Politik Staf Presiden. Selama 10 tahun yakni pada 1966-1976, Fuad pun menyempatkan sebagai dosen Seskoad, Seskoal, dan Lemhanas.",Suku_Etnis_Budaya
Apa yang dimaksud dengan Universitas Mulawarman/Fakultas Kedokteran dan bagaimana keberadaannya dalam budaya Indonesia?,,"Sejarah Program Pendidikan Dokter Universitas Mulawarman didirikan oleh Pemerintah Provinsi Kalimantan Timur bekerja sama dengan Universitas Mulawarman. Program ini diresmikan pada tanggal 1 November 2001 oleh Gubernur Kalimantan Timur Suwarna Abdul Fatah, Rektor Universitas Mulawarman Rachmad Hernadi, dan dari Konsorsium Ilmu Kesehatan Departemen Pendidikan Nasional, Ma'rifin Husin. Dalam pelaksanaan awal kegiatan perkuliahan dilakukan dengan dosen tamu yang diambil dari RSUD Abdul Wahab Sjahranie Samarinda, Universitas Brawijaya, Universitas Hasanuddin dan Universitas Airlangga. Secara organisasi Program Pendidikan Dokter dipimpin oleh Latief Choibar Caropeboka dan berada di bawah Fakultas Matematika dan Ilmu Pengetahuan Alam.",Sejarah_Nusantara
Deskripsikan Aminullah Usman sebagai bagian dari kekayaan budaya Nusantara.,,"Aktivitas lainnya yang digeluti oleh Mantan Walikota Banda Aceh ini meliputi kegiatan olahraga seperti sepakbola dan tenis. Dunia Sepakbola tidak asing lagi mendengar istilah bang carlos, Bang Carlos sendiri merupakan panggilan yang dilontarkan fans sepakbola ketika Aminullah Usman bermain di Lapangan Hijau dengan keunikan memakai sepatu yang berbeda kanan dan kiri disertai crossing dan assist yang indah. Aminullah Usman juga pernah menjabat sebagai Manajer Persiraja pada tahun 1999 silam.",Sejarah_Nusantara
Jelaskan asal-usul dan fungsi Batik Gedog dalam tradisi masyarakat Indonesia.,,"Pemaknaan Pusat pembuatan Batik Gedog berada di Kecamatan Kerek, Kabupaten Tuban. Pekerjaan membuat Batik Gedog dilakukan oleh masyarakat ketika tidak sedang berladang atau saat menunggu masa bercocok tanam. Motif Batik Gedog yang berupa titik-titik merupakan perlambangan kosmologi Jawa-Hindu yaitu ""kiblat papat lima pancer"". Maknanya berupa keserakahan manusia terhadap bumi. Motif yang berbentuk tanaman merupakan perlambang keperluan pangan masyarakat, sedangkan motif burung melambangkan kehidupan di alam bagian atas.",Budaya_Tradisi
Deskripsikan Ta Prohm sebagai bagian dari kekayaan budaya Nusantara.,,"Ta Prohm () adalah nama kini dari candi di Angkor, Provinsi Siem Reap, Kamboja, dibangun dengan gaya Bayon kurun akhir abad ke-12 dan awal abad ke-13. Nama asli candi ini adalah Rajawihara (). Candi ini terletak sekitar satu kilometer ke arah timur dari Angkor Thom dan pada tepi selatan Baray Timur. Candi ini dibangun oleh Raja Khmer Jayawarman VII sebagai wihara dan universitas beraliran Buddha Mahayana. Tidak seperti candi lainnya di Angkor, Ta Prohm tidak dipugar dan dibiarkan dalam kondisi asal sebagaimana ditemukan. Hal ini menimbulkan efek fotogenik dengan melestarikan suasana rimba liar yang asli seperti membiarkan lilitan akar pohon besar yang memeluk tubuh candi, karena keunikan inilah Ta Phrom menjadi salah satu candi yang paling banyak dikunjungi wisatawan. UNESCO memasukkan Ta Prohm ke dalam Daftar Situs Warisan Dunia UNESCO pada 1992. Upaya pemugaran dan pelestarian Ta Phrom dilakukan secara kemitraan dengan Survei Arkeologi India dan otoritas APSARA.",Sejarah_Nusantara
Bagaimana Medang (disambiguasi) mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Kerajaan Medang, kerajaan Hindu-Buddha yang berdiri di Jawa Tengah pada abad ke-8, dan Jawa Timur pada abad ke-10 Medang Kamulan, kerajaan semi-mitologis yang diyakini pernah berdiri di Jawa Tengah menurut mitologi Jawa",Budaya_Tradisi
Deskripsikan Agama sekuler sebagai bagian dari kekayaan budaya Nusantara.,,"A. Bergesen, The Sacred and the Subversive (1984) E. B. Koenker, Secular Salvations (1965) H. Kelsen, Secular Religion (1964) Gentile, ""Political Religion: A Concept and its Critics - A Critical Survey,"" Totalitarian Movements and Political Religions, Vol. 6, No. 1, p. 25 Wolfgang Hardtwig (2001) ""Political Religion in Modern Germany: Reflections on Nationalism, Socialism, and National Socialism"", Bulletin of the German Historical Institute, Volume 28 Jacques Ellul,The New Demons. Trans. C. Edward Hopkin. New York: Seabury, 1975. London: Mowbrays, 1975.",Budaya_Tradisi
Apa makna dan peran Michel Franco dalam kehidupan masyarakat Indonesia?,,"Michel Franco (kelahiran 1979) adalah sebuah sutradara dan produser Meksiko. Filmnya After Lucia memenangkan Penghargaan Un Certain Regard di Festival Film Cannes 2012. Film 2015-nya Chronic terpilih untuk berkompetisi untuk Palme d'Or di Festival Film Cannes 2015. Di Cannes, Franco memenangkan penghargaan untuk Permainan Latar Terbaik.",Budaya_Tradisi
Deskripsikan Suksesi Muhammad sebagai bagian dari kekayaan budaya Nusantara.,,"Suksesi Muhammad merupakan isu sentral yang memecah umat Muslim menjadi beberapa cabang di abad pertama sejarah Islam. Beberapa bulan sebelum kematiannya, Muhammad menyampaikan khotbah di Ghadir Khum di mana ia mengumumkan bahwa Ali bin Abi Thalib akan menjadi penerusnya. Setelah khotbah tersebut, Muhammad memerintahkan kepada kaum Muslim untuk bersumpah setia kepada Ali. Baik sumber Syiah maupun Sunni sepakat bahwa Abu Bakar, Umar bin Khattab, dan Utsman bin Affan termasuk di antara sekian banyak orang yang bersumpah setia kepada Ali saat peristiwa ini. Namun sesaat setelah kematian Muhammad, sekelompok Muslim mengadakan pertemuan di Saqifah, di mana sahabat Muhammad, yaitu Umar berjanji setia kepada Abu Bakar. Abu Bakar kemudian mengambil alih kekuasaan politik, dan para pendukungnya dikenal sebagai Sunni. Meskipun demikian, sekelompok Muslim lainnya tetap setia kepada Ali, yang kemudian dikenal sebagai kelompok Syiah, yang menyatakan meskipun hak Ali sebagai pemimpin politik telah diambil, dia tetap pemimpin keagamaan dan spiritual sepeninggal Muhammad.",Sejarah_Nusantara
Apa makna dan peran Pungmul dalam kehidupan masyarakat Indonesia?,,"Selain itu, pada saat mengerjakan lahan pertanian, para petani memainkan berbagai alat musik untuk meringankan beban bekerja dan sebagai hiburan saat lelah. Musik pun dimainkan sebagai pengiring doa dan ritual kepada dewa agar hasil pertanian diberkati kelimpahan dan dilindungi dari serangan hama. Lama-kelamaan, pungmul dimainkan sebagai kelompok musik petani pada saat diadakan festival-festival di daerah pedesaan. Kelompok pemusik ini dinamakan pungmulpae.",Budaya_Tradisi
Bagaimana Agus Musin Dasaad mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Pada dekade 1930-an, ia berkongsi dengan Ayub Rais serta Djohor Soetan Perpatih dan Djohan Soetan Soelaiman mendirikan Firma Malaya Import Mij yang berkerjasama dengan Jepang. Ia juga terjun ke bisnis perkapalan dan kemudian menjadi importir alat-alat manufaktur. Tahun 1941, ia mengakuisisi perusahaan tekstil Kancil Mas di Bangil, Pasuruan. Di masa pendudukan Jepang, Dasaad ditunjuk sebagai dewan pengawas perdagangan tekstil. Pasca kemerdekaan, perusahaannya Dasaad Musin Concern memegang lisensi beberapa merek mobil Eropa dan Jepang. Pada tahun 1961, bersama Hasjim Ning, Jusuf Muda Dalam, dan Ciputra, ia mendirikan perusahaan konstruksi PT. Pembangunan Jaya.",Sejarah_Nusantara
Bagaimana Suku Ati mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Sebuah legenda menceritakan kisah tentang bagaimana pada awal abad ke-12, ketika Indonesia dan Filipina dipimpin oleh kerajaan bercorak India, leluhur orang Bisaya melarikan diri dari Kalimantan dari persekusi Rajah Makatunaw. Dipimpin oleh Datu Puti dan Datu Sumakwel mereka berlayar lalu mendarat di dekat sebuah sungai yang disebut Suaragan, di pantai barat daya Panay, dan menukar kalung dan salakot (caping) emas mereka dengan tanah milik kepala suku Ati yang bernama Polpolan dan putranya Marikudo. Kawasan perbukitan dibiarkan tetap milik orang Ati sedangkan dataran rendah dan tepian sungai diberikan kepada pendatang Melayu. Pertemuan ini diperingati melalui festival Ati-atihan. Namun legenda ini ditentang oleh beberapa sejarawan.",Sejarah_Nusantara
Jelaskan apa itu Jajak pendapat dalam konteks budaya dan tradisi Indonesia.,,"Sejarah jajak pendapat Contoh jajak pendapat pertama yang dketahui adalah sebuah pengumpulan pendapat setempat oleh The Harrisburg Pennsylvanian pada 1824, yang menunjukkan bahwa Andrew Jackson unggul atas John Quincy Adams dengan 335 banding 169 suara dalam perebutan jabatan Presiden Amerika Serikat. Pengumpulan pendapat seperti itu—yang tidak bersifat ilmiah— pelan-pelan menjadi makin populer; namun sifatnya tetap lokal dan biasanya hanya meliputi satu kota saja. Pada 1916, Literary Digest melakukan survai nasional (sebagian untuk meningkatkan sirkulasi) dan secara tepat meramalkan terpilihnya Woodrow Wilson sebagai Presiden. Dengan semata-mata mengirimkan jutaan kartu pos dan menghitung kartu yang kembali, Digest dengan tepat meramalkan keempat pemilihan presiden berikutnya.",Sejarah_Nusantara
"Bagaimana Lamteuba Droe, Seulimeum, Aceh Besar mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?",,"Berdasarkan cerita dari tetua gampong Lamteuba Droe pada mulanya adalah sebuah danau yang besar yang terletak dikaki gunung Seulawah Agam, danau tersebut kemudian dibelah menjadi dua bagian oleh ulama Aceh yang terkenal dengan nama “PUTROMEREHOM”. Belahan pertama dari danau itu diberi nama Kuta Cot Puteng, seiring dengan pergantian waktu lama kelamaan danau tersebut menjadi dangkal dan menjadi daratan yang pada saat ini menjadi lokasi perkebunan masyarakat, sedangkan yang disebelah barat pada saat bersamaan belum mongering, dan oleh ulama yang lainnya yang bersama Tuan Ta Hasan, dibuatlah sebuah lubang (sumur) dengan Lam Tabai, yang kemudian danau tersebut mengering dan menjadi sebuah gampong yang bernama gampong dan yang di lubango dengan Lam Teubai tersebut menjadi sumur, yang sampai saat ini masih ada dan di jadikan sebagai tempat pemandian kaum perempuan, yang dikenal dengan nama Mon Tuan Ta Hasan.",Sejarah_Nusantara
Deskripsikan Esma Redžepova sebagai bagian dari kekayaan budaya Nusantara.,,"Redžepova lahir pada tanggal 8 Agustus 1943 di Jalan Ivo Lola Ribar 20, Skopje. Pada masa itu, Skopje sedang diduduki oleh Kerajaan Bulgaria yang bersekutu dengan Jerman Nazi, walaupun Skopje dikembalikan kepada Yugoslavia dua tahun kemudian. Ia adalah anak kelima dari enam bersaudara. Redžepova sudah mulai bernyanyi saat ia masih remaja pada tahun 1950-an. Ia meniti karier musiknya selama lebih dari lima dasawarsa. Keberhasilannya di dunia musik juga didorong oleh suaminya Stevo Teodosievski, seorang komponis dan direktur kelompok musik Ansambl Teodosievski. Teodosievski menulis banyak lagu untuk istrinya dan juga menjadi manajer Redžepova hingga kematian Teodosievski pada tahun 1997. Gaya musik Redžepova terinspirasi dari musik Rom dan Makedonia. Pengaruh-pengaruh dari genre lain juga dapat dirasakan, seperti pengaruh dari musik pop. Esma Redžepova memulai kariernya pada masa ketika musik Rom dianggap rendah dan murahan di Yugoslavia, sementara orang Rom merasa bahwa perempuan yang menyanyi di muka umum adalah perempuan yang memalukan. Redžepova adalah salah satu penyayi pertama yang bernyanyi dalam bahasa Rom di radio dan televisi.",Budaya_Tradisi
Jelaskan asal-usul dan fungsi Village Photobook dalam tradisi masyarakat Indonesia.,,adalah film drama Jepang tahun 2004 yang ditulis dan disutradarai oleh Mitsuhiro Mihara. Film ini memenangkan Golden Goblet Award for Best Feature Film pada Festival Film Internasional Shanghai 2005.,Budaya_Tradisi
Jelaskan asal-usul dan fungsi Hidangan Indonesia dalam tradisi masyarakat Indonesia.,,"Sebagai contoh, beras yang diolah menjadi nasi putih, ketupat atau lontong (beras yang dikukus menggunakan daun pisang atau plastik) sebagai makanan pokok bagi mayoritas penduduk Indonesia, namun untuk bagian timur lebih umum dikonsumsi sagu, jagung, singkong, dan ubi jalar. Bentuk penyajian umum sebagian besar makanan Indonesia terdiri atas makanan pokok dengan lauk-pauk berupa daging, ikan atau sayur di sisi piring.",Budaya_Tradisi
Ceritakan secara singkat tentang Superglad dan signifikansinya bagi masyarakat setempat.,,"Terbentuknha Superglad sendiri berawal.dari pasca bubarnya Waiting Room karena perbedaan visi. Lukman atau biasa dipanggil Buluk pun merekrut Giox (Bass), Akbar (drum), Berry (gitar) yang kesemuanya memiliki basic musik yang berbeda, namun itu membuat warna tersendiri bagi Superglad.",Sejarah_Nusantara
Apa makna dan peran Richard Hale School dalam kehidupan masyarakat Indonesia?,,"Richard Hale School adalah sebuah sekolah menengah khusus laki-laki dengan status akademi, yang terletak di Hertford, tenggara Inggris. Pada tahun ajaran 2014 – 2015, sekolah tersebut memiliki lebih dari 1,000 murid",Sejarah_Nusantara
Ceritakan secara singkat tentang Kerajaan Ndongo dan signifikansinya bagi masyarakat setempat.,,"Kerajaan Ndongo (atau Kerajaan Ngola) adalah nama negara Afrika pra-kolonial di Angola yang didirikan oleh Mbundu, suku berbahasa Bantu yang menghuni Angola utara. Kerajaan Ndongo pertama kali dicatat pada abad ke-16. Kerajaan ini merupakan salah satu dari vasal daripada Kerajaan Kongo. Hanya sedikit yang diketahui tentang kerajaan dari awal abad keenam belas ini. ""Angola"" terdaftar di antara gelar-gelar Raja Kongo pada tahun 1535, jadi kemungkinan Ndongo berada di bawah kerajaan Kongo. Tradisi lisannya sendiri, yang dikumpulkan pada akhir abad keenam belas, khususnya oleh Yesuit Baltasar Barreira, menggambarkan pendiri kerajaan, Ngola Kiluanje atau Ngola Inene, sebagai seorang migran dari Kongo, yang menjadi seorang kepala kelompok etnis berbahasa Kimbundu.",Budaya_Tradisi
Ceritakan secara singkat tentang Said Al-Andalusi dan signifikansinya bagi masyarakat setempat.,,"Said Al-Andalusí (; Almería, 1029 - Toledo, 1070) ""Al-Tulaytuli"" (dari Toledo) adalah seorang qadi, ilmuwan dan sejarawan Al-Andalus. Karyanya yang terkenal adalah Tabaqat Al-Umam (Klasifikasi Bangsa-Bangsa), yang banyak dipelajari oleh para sejarawan. Karyanya yang lain adalah Kumpulan Sejarah Bangsa Arab dan Non-Arab, dan Koreksi Pergerakan Bintang-Bintang.",Sejarah_Nusantara
Deskripsikan Ratapan 2 sebagai bagian dari kekayaan budaya Nusantara.,,"Ratapan 2 (disingkat Rat 2) adalah bagian kedua dari Kitab Ratapan dalam Alkitab Ibrani dan Perjanjian Lama di Alkitab Kristen. Digubah oleh nabi Yeremia bin Hilkia, pada waktu dimulainya kepergian orang Yehuda dalam Pembuangan ke Babel pada zaman raja Zedekia dari Kerajaan Yehuda sekitar abad ke-7 SM.",Sejarah_Nusantara
Apa makna dan peran Suku Dampelas dalam kehidupan masyarakat Indonesia?,,"Kepercayaan Sebagian besar suku Dampelas beragama Islam namun mereka juga mempertahankan kepercayaan animisme. Suku Dampelas mengenal berbagai nama makhluk untuk kekuatan gaib dan juga sebagai tempat perlindungan dan tempat memohon berkat dengan menggunakan cara-cara tertentu. Suku Dampelas juga dikenal sebagai suku yang masih menggunakan benda-benda sakti yang berkhasiat sebagai penangkal serangan musuh. Orang yang menggunakan alat itu seakan-akan menjadi kebal, tidak diganggu oleh hantu, anti terhadap guna-guna yang lain dan sebagainya.",Budaya_Tradisi
"Apa makna dan peran Enochville, Carolina Utara dalam kehidupan masyarakat Indonesia?",,"Sejarah Tempat yang ditunjuk sensus sebelumnya adalah kota yang tergabung, salah satu yang tertua di Kabupaten Rowan. Ini awalnya disewa pada tahun 1877 tetapi kehilangan penggabungannya pada tahun 1974. Orang-orang menganggap kota itu tidak tergabung, tetapi piagam itu masih aktif. Setelah Dewan Pemilihan Kabupaten Rowan memerintahkan pemilihan pejabat kota pada tahun 1973, orang-orang meminta untuk memutuskan apakah akan tetap tergabung, dan mereka memberikan suara 84-41 menentang.",Sejarah_Nusantara
Apa makna dan peran Kon-Katedral Poprad dalam kehidupan masyarakat Indonesia?,,"Sejarah Dibangun antara tahun 1939 dan 1942. Gereja ini memiliki panjang 48 m dan lebar 22 m. Gelar ""kon-katedral"" mengacu pada fakta bahwa gereja ini adalah katedral kedua di dalam Keuskupan Spiš, setelah Katedral Santo Martinus di Spišská Kapitula.",Sejarah_Nusantara
Apa yang dimaksud dengan Partai Islam Indonesia dan bagaimana keberadaannya dalam budaya Indonesia?,,"Pada tahun 1933, Soekiman Wirjosandjojo dan Soerjopranoto, dua anggota senior Partai Syarikat Islam Indonesia (PSII), dikeluarkan dari partai tersebut, diduga karena menyalahgunakan dana partai, tetapi mungkin karena penentangan mereka terhadap munculnya faksi di dalam PSSI yang menentang kerjasama dengan pemerintah kolonial Belanda. Bersama dengan anggota PSSI lainnya yang tidak terpengaruh, Soekiman membentuk Partai Politik Islam Indonesia (Partij Politiek Islam Indonesia, Parii). Pada tahun 1935, Parii mengadakan konferensi di Yogyakarta, yang ternyata partainya belum memiliki cukup cabang. Dua tahun kemudian, dalam kongresnya di Bandung, PSII mengeluarkan mosi yang mencabut pengusiran tahun 1933 karena kedua orang yang bertanggung jawab atas keputusan tersebut, Oemar Said Tjokroaminoto dan Agus Salim, telah meninggal dunia. Soekiman dan rekan-rekannya bergabung kembali dengan PSII, dan Parii resmi bergabung ke dalamnya.",Sejarah_Nusantara
Ceritakan secara singkat tentang Chavchay Syaifullah dan signifikansinya bagi masyarakat setempat.,,"Chavchay Syaifullah () adalah sastrawan berkebangsaan Indonesia. Namanya dikenal sebagai Penyair Angkatan 98 yang aktif dalam berbagai pergerakan pada masa reformasi. Dia memublikasikan karya-karyanya berupa puisi, novel, cerita pendek, naskah drama, skenario film, lirik lagu, esei, dan jurnalisme sastrawi. Di bidang organisasi kesenian, Ketua Departemen Seni dan Budaya Parmusi (Persaudaraan Muslimin Indonesia). Pada tahun 2018, dia dipercaya sebagai salah satu kurator Pertemuan Penyair Nusantara. Bersama kelompok musik Rempah, dia merilis album pertamanya, Tetap Ada Jalan (2004). Direktur Eksekutif Rifa'i Center (Rice, 2020). Salah satu pendiri Pesantren Kreatif Adh Dhamir (2020).",Budaya_Tradisi
Bagaimana Han Guang mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"Han pada mulanya adalah seorang pejabat kecil yang bekerja di negara Zhao. Pada tahun 209 SM, Chen Sheng dan Wu Guang memulai Pemberontakan Desa Daze untuk menggulingkan Dinasti Qin dan Han berpartisipasi di dalam pemberontakan tersebut. Chen mengirim Wu Chen untuk menyerang bekas wilayah Zhao. Setelah menguasai Zhao, Wu Chen mengirim Han untuk menggalang dukungan dari bekas negara Yan. Han menerima sambutan hangat dan dinominasikan oleh rakyat Yan sebagai raja mereka.",Sejarah_Nusantara
Bagaimana Hari Evakuasi (Suriah) mencerminkan nilai-nilai dan tradisi masyarakat Indonesia?,,"LATAR BELAKANG Setelah Perang Dunia I, Kekaisaran Ottoman dibagi menjadi beberapa negara baru, menciptakan dunia Arab modern dan Republik Turki. Menyusul Perjanjian Sykes – Picot antara Prancis, Inggris Raya, dan Rusia pada tahun 1916, Liga Bangsa-Bangsa memberikan mandat kepada Prancis atas Suriah dan Lebanon saat ini pada tahun 1923.",Sejarah_Nusantara
Jelaskan asal-usul dan fungsi Sramana dalam tradisi masyarakat Indonesia.,,"Gerakan Sramana mulai naik pamor pada masa Mahavira dan Buddha Gautama, ketika ritualisme Weda telah menjadi tradisi dominan di beberapa wilayah India. Sramana mengadopsi cara-cara alternatif yang mengganti upacara-upacara Weda untuk mencapai kebebasan hidup dan meninggalkan kehidupan berumah tangga. Gerakan ini biasanya mengadakan tiga macam aktivitas: kecermatan, meditasi, dan teori-teori yang terkait. Sebagai otoritas spiritual, Sramana merupakan varian bagi otoritas brahmana tradisional. Beberapa ahli berpendapat bahwa istilah Sramana muncul dalam kitab-kitab Brahmana sebagai ordo keagamaan di luar tradisi Weda (contohnya Astika).",Budaya_Tradisi
Jelaskan apa itu GE E60 dalam konteks budaya dan tradisi Indonesia.,,"Amtrak pertama kali memesan model ini sebanyak 26 unit pada tahun 1973; 15 unit pada tanggal 26 Maret dan 11 unit pada tanggal 12 Oktober, dengan total harga sekitar 18,4 juta dollar. Pesanan tersebut pertama kali tiba pada bulan November 1974 dan E60 menjadi model pertama yang dihias dengan skema cat tahap II Amtrak. Masalah kemudian muncul ketika model ini bergoyang ke samping saat kereta melaju dengan kecepatan tinggi. Federal Railroad Administration kemudian membatasi kecepatan model ini hingga saja. Karena kegagalan model ini, Amtrak akhirnya memesan model baru yaitu EMD AEM-7 yang diproduksi oleh Divisi Electro-Motive. Setelah kehadiran EMD AEM-7, Amtrak mulai menggantikan E60 dengan EMD AEM-7. Pada tahun 1982, Amtrak menjual 2 model E60nya ke Navajo Main Railroad.",Sejarah_Nusantara
